rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.3390/electronics15112301,Efficient Similarity-Based Datasheet Retrieval and Analysis Using Retrieval-Augmented Generation for Electronic Component Selection,2026,Electronics,https://doi.org/10.3390/electronics15112301,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1126/sciadv.adr1443,"Benchmarking retrieval-augmented large language models in biomedical NLP: Application, robustness, and self-awareness",2025,Science Advances,https://doi.org/10.1126/sciadv.adr1443,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.66238/ijcbs29,Scalable Retrieval-Augmented Generation for Technical Documents with Hallucination Risk Control,2025,International Journal of Computational and Biological Sciences,https://doi.org/10.66238/ijcbs29,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3390/drones9050361,Advancing Large Language Models with Enhanced Retrieval-Augmented Generation: Evidence from Biological UAV Swarm Control,2025,Drones,https://doi.org/10.3390/drones9050361,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/systems13040259,PAI-NET: Retrieval-Augmented Generation Patent Network Using Prior Art Information,2025,Systems,https://doi.org/10.3390/systems13040259,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.3390/agriengineering7010012,Enhancing Environmental Control in Broiler Production: Retrieval-Augmented Generation for Improved Decision-Making with Large Language Models,2025,AgriEngineering,https://doi.org/10.3390/agriengineering7010012,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.3390/buildings15193449,Enhancing Embodied Carbon Calculation in Buildings: A Retrieval-Augmented Generation Approach with Large Language Models,2025,Buildings,https://doi.org/10.3390/buildings15193449,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.66279/292sm294,Vision Language Action Models for Embodied Intelligence A Structured Taxonomy Critical Analysis and Future Research Directions,2026,Computational Discovery and Intelligent Systems (CDIS),https://doi.org/10.66279/292sm294,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/icecie63774.2024.10815693,Retrieval-Augmented Generation Based Large Language Model Chatbot for Improving Diagnosis for Physical and Mental Health,2024,"2024 6th International Conference on Electrical, Control and Instrumentation Engineering (ICECIE)",https://doi.org/10.1109/icecie63774.2024.10815693,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.2196/75052,Predicting 30-Day Postoperative Mortality and American Society of Anesthesiologists Physical Status Using Retrieval-Augmented Large Language Models: Development and Validation Study,2025,Journal of Medical Internet Research,https://doi.org/10.2196/75052,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
