method,split,regime,task,seed,episodes,mismatch,success_rate,utility,mechanism_precision,incompatible_retrieval_rate,recovery_success,damage_rate,query_cost,regret,calibration_error,retrieval_coverage,budget,profile,accepted_under_budget,risk_breach,realized_risk
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,0,96,0.1512000000,0.2450000000,0.1714004336,0.2960310000,0.2132142800,0.3171691002,0.1119549996,0.1033850000,0.1779455988,0.1133396285,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1887121404
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,1,96,0.1512000000,0.2970833333,0.2238756474,0.2968570000,0.2137992800,0.3179676252,0.1114034496,0.1029978333,0.1784175503,0.1137089885,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1883711904
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,2,96,0.1512000000,0.3387500000,0.2657721113,0.2976830000,0.2143842800,0.3187661502,0.1110393996,0.1027565000,0.1788895019,0.1140783485,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1882177404
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,3,96,0.1512000000,0.3075000000,0.2336173251,0.2985090000,0.2149692800,0.3195646752,0.1119878496,0.1035360000,0.1793614534,0.1144477085,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1893767904
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,4,96,0.1512000000,0.3804166667,0.3072500390,0.2993350000,0.2155542800,0.3203632002,0.1110612996,0.1028571667,0.1798334050,0.1148170685,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1886608404
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,5,96,0.1512000000,0.2970833333,0.2258033028,0.3001610000,0.2161392800,0.3211617252,0.1069442496,0.1043658333,0.1803053565,0.1151864285,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1847543904
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,6,96,0.1512000000,0.2658333333,0.1936485167,0.3009870000,0.2167242800,0.3219602502,0.1078926996,0.1051453333,0.1807773081,0.1155557885,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1859134404
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,7,96,0.1512000000,0.3075000000,0.2355449805,0.3018130000,0.2173092800,0.3227587752,0.1075286496,0.1049040000,0.1812492596,0.1159251485,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1857599904
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,8,96,0.1512000000,0.2970833333,0.2245476944,0.3026390000,0.2178942800,0.3235573002,0.1081020996,0.1053918333,0.1817212112,0.1162945085,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1865440404
no_retrieval_controller,seen_corpus,latency_safe_deployment,drawer_pull_with_stiction,9,96,0.1512000000,0.2033333333,0.1309614282,0.3034650000,0.2184792800,0.3243558252,0.1101755496,0.1010433333,0.1821931627,0.1166638685,0.0000000000,0.0800000000,latency_safe_deployment,0,0,0.1888280904
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,0,96,0.2088000000,0.3075000000,0.2249892390,0.2956530000,0.2231397200,0.3162625098,0.1149527804,0.1014480000,0.1895805622,0.1144470355,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1952830796
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,1,96,0.2088000000,0.2450000000,0.1610835616,0.2965070000,0.2237447200,0.3170883348,0.1164771304,0.1026770000,0.1900689224,0.1148287155,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1970252296
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,2,96,0.2088000000,0.3387500000,0.2579401743,0.2973610000,0.2243497200,0.3179141598,0.1151889804,0.1017185000,0.1825532825,0.1152103955,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1959548796
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,3,96,0.2088000000,0.2970833333,0.2151919969,0.2982150000,0.2249547200,0.3187399848,0.1163383304,0.1026558333,0.1830416427,0.1155920755,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1973220296
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,4,96,0.2088000000,0.4012500000,0.3205463195,0.2990690000,0.2255597200,0.3195658098,0.1148626804,0.1015515000,0.1835300028,0.1159737555,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1960641796
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,5,96,0.2088000000,0.2554166667,0.1720106421,0.2999230000,0.2261647200,0.3203916348,0.1178870304,0.1039471667,0.1840183630,0.1163554355,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1993063296
no_retrieval_controller,seen_corpus,damage_sensitive_deployment,drawer_pull_with_stiction,6,96,0.2088000000,0.2658333333,0.1821562147,0.3007770000,0.2267697200,0.3212174598,0.1180988804,0.1041553333,0.1845067231,0.1167371155,0.0000000000,0.0800000000,damage_sensitive_deployment,0,0,0.1997359796
