method,split,regime,task,seed,episodes,success_rate,mechanism_precision,incompatible_retrieval_rate,damage_rate,recovery_success,query_cost,calibration_error
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,0,84,0.476190,0.313248,0.200528,0.096284,0.327852,0.065909,0.112510
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,1,84,0.500000,0.314024,0.201104,0.096227,0.328693,0.065948,0.112892
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,2,84,0.380952,0.314800,0.201680,0.099027,0.329534,0.067987,0.113274
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,3,84,0.369048,0.315576,0.202256,0.099684,0.330375,0.068525,0.105653
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,4,84,0.619048,0.316352,0.202832,0.095103,0.331216,0.065397,0.106035
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,5,84,0.476190,0.317128,0.203408,0.098380,0.332057,0.067769,0.106417
no_retrieval_controller,seen_corpus,source_matched,drawer_pull_with_stiction,6,84,0.416667,0.317904,0.203984,0.099989,0.332898,0.068975,0.106800
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,0,84,0.380952,0.322744,0.195980,0.095263,0.296212,0.072887,0.110068
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,1,84,0.452381,0.307512,0.196556,0.094254,0.297053,0.072259,0.110450
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,2,84,0.416667,0.308288,0.197132,0.095388,0.297894,0.073131,0.110832
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,3,84,0.523810,0.309064,0.197708,0.093664,0.298735,0.072003,0.111215
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,4,84,0.476190,0.309840,0.198284,0.095035,0.299576,0.073041,0.111597
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,5,84,0.440476,0.310616,0.198860,0.096169,0.300417,0.065909,0.111979
no_retrieval_controller,seen_corpus,source_matched,peg_insert_contact_search,6,84,0.404762,0.311392,0.199436,0.097302,0.301258,0.066781,0.112362
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,0,84,0.500000,0.309344,0.199202,0.096960,0.335916,0.067896,0.106802
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,1,84,0.345238,0.310104,0.199766,0.100466,0.336739,0.070427,0.107176
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,2,84,0.488095,0.310864,0.200330,0.098019,0.337563,0.068791,0.107550
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,3,84,0.464286,0.311624,0.200894,0.098905,0.338386,0.069488,0.107924
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,4,84,0.380952,0.312384,0.201458,0.100982,0.339210,0.071019,0.108298
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,5,84,0.428571,0.313144,0.202022,0.100440,0.340033,0.070716,0.108672
no_retrieval_controller,seen_corpus,source_matched,cable_route_around_hook,6,84,0.452381,0.313904,0.202586,0.092370,0.340857,0.070747,0.109047
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,0,84,0.357143,0.313656,0.203804,0.097050,0.337635,0.067696,0.112688
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,1,84,0.333333,0.314400,0.204356,0.097928,0.338441,0.068385,0.113054
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,2,84,0.416667,0.315144,0.204908,0.096663,0.339247,0.067575,0.113420
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,3,84,0.404762,0.315888,0.205460,0.097302,0.340053,0.068097,0.105782
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,4,84,0.380952,0.316632,0.206012,0.098180,0.322850,0.068787,0.106148
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,5,84,0.476190,0.317376,0.206564,0.096676,0.323655,0.067809,0.106514
no_retrieval_controller,seen_corpus,source_matched,cloth_slide_over_edge,6,84,0.357143,0.318120,0.207116,0.099459,0.324461,0.069832,0.106880
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,0,84,0.380952,0.311968,0.199076,0.096456,0.295732,0.073295,0.110531
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,1,84,0.464286,0.312752,0.199658,0.095213,0.296582,0.072504,0.110918
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,2,84,0.476190,0.313536,0.200240,0.095398,0.297431,0.072713,0.111304
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,3,84,0.440476,0.314320,0.200822,0.096536,0.298281,0.073589,0.111691
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,4,84,0.500000,0.315104,0.201404,0.095769,0.299131,0.065128,0.112077
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,5,84,0.464286,0.315888,0.201986,0.096907,0.299981,0.066004,0.112464
no_retrieval_controller,seen_corpus,source_matched,twist_lid_with_force_limit,6,84,0.452381,0.316672,0.202568,0.097569,0.300830,0.066547,0.112850
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,0,84,0.380952,0.305563,0.208864,0.100222,0.320219,0.072250,0.109944
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,1,84,0.500000,0.306363,0.209458,0.098273,0.321087,0.070967,0.110338
